Row,Label,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
0,Variables,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55
127,NPEAgri,-2.4,-2.7,-1.3,-1.9,-2,-1.8,-1.7,-1.1,-0.8,-0.6,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.8,-0.7,-1.1,-1,-1.2,-1.3,-1.3,-1.1,-1.3,-1.7
128,NPECons,-1.8,-1.6,-2,-2.5,-3.9,-3.9,-3.8,-3.4,-2.9,-2.3,-1.8,-1.8,-1.9,-2,-2,-2.2,-2.5,-2.5,-2.5,-2.5,-2.7,-2.7,-2.8,-2.8,-3,-4
129,NPEManf,-1.2,-1.2,-1,-1.2,-2.1,-2.1,-1.8,-1.4,-1.1,-0.7,-0.2,-0.2,-0.4,-0.4,-0.6,-0.8,-0.9,-1,-1.2,-1.3,-1.7,-1.8,-1.8,-2.1,-2.4,-3.1
130,NPEWhol,-0.8,-0.6,-0.7,-1.1,-1.5,-1.8,-1.5,-1.3,-0.7,-0.5,0.2,0,0,-0.1,-0.1,-0.2,-0.4,-0.6,-0.7,-0.9,-1.1,-1.3,-1.4,-1.5,-1.6,-2
131,NPEReta,-1.9,-1.4,-1.1,-1.4,-1.7,-1.7,-1.5,-1,-0.6,-0.3,0.3,0.3,0.3,0.2,0.1,0,-0.2,-0.3,-0.5,-0.6,-0.9,-1,-1.1,-1.3,-1.4,-1.6
132,NPETran,-2,-1.4,-1.3,-1.8,-2.2,-2.2,-2,-1.7,-1.6,-0.9,-0.6,-0.7,-0.7,-0.7,-0.9,-1,-1.1,-1.3,-1.3,-1.3,-1.5,-1.7,-1.7,-1.8,-1.9,-2.3
133,NPEInfo,-1.1,-0.7,-1.1,-1.4,-1.7,-2,-1.8,-1.2,-0.9,-0.3,0.2,0.1,0.2,0.1,0.2,0.1,-0.1,-0.5,-0.7,-0.7,-1,-1.1,-1.3,-1.4,-1.7,-2.4
134,NPEFina,-0.1,-0.7,-1.1,-1.4,-1.9,-2,-1.7,-1.5,-0.7,0,0.5,0.7,0.6,0.7,0.6,0.5,0.4,0.2,0,-0.1,-0.3,-0.6,-0.9,-1.1,-1.5,-1.9
135,NPEReal,-1.4,-1.6,-1.8,-2,-2.2,-2.3,-2.1,-1.8,-1,-0.6,0.1,0.1,0,0.1,-0.1,-0.1,-0.2,-0.5,-0.5,-0.5,-0.8,-1,-0.9,-1.2,-1.3,-1.8
136,NPEProf,-1,-0.7,-0.6,-0.9,-1.6,-1.8,-1.6,-1.1,-0.5,-0.1,0.5,0.5,0.5,0.5,0.4,0.3,0.2,0,-0.2,-0.3,-0.7,-0.8,-1,-1.1,-1.2,-1.6
137,NPEAdmi,-2.4,-2,-1.3,-1.5,-2.2,-2.1,-1.8,-1.6,-1.1,-0.5,0.1,0,0,0,0,-0.1,-0.2,-0.5,-0.5,-0.7,-0.8,-0.9,-1,-1,-1.1,-1.3
138,NPEHcare,-2.5,-2.1,-1.5,-1.1,-0.7,-0.7,-0.5,-0.2,0.2,0.5,1,1,0.9,0.9,0.7,0.6,0.5,0.2,0,-0.2,-0.3,-0.6,-0.8,-1,-1.2,-1.5
139,NPEArts,-2.7,-2.3,-2.4,-2.4,-2.9,-2.1,-1.8,-1.6,-0.8,-0.4,0.3,0.4,0,0.3,0.3,-0.1,0.2,0,-0.2,-0.3,-0.6,-0.8,-0.9,-1.1,-1,-1.8
140,NPEAcco,-2.2,-1.7,-1.2,-1.3,-1.6,-1.8,-1.5,-1.1,-0.7,-0.2,0.5,0.4,0.4,0.3,0.1,0,-0.1,-0.3,-0.5,-0.6,-0.8,-0.9,-1,-1,-0.9,-1.2
141,NPEOserv,-3.4,-2.9,-2.6,-2.5,-2.5,-2.4,-2.1,-1.8,-1.5,-1.3,-0.8,-0.9,-0.9,-0.9,-1,-1.2,-1.3,-1.3,-1.4,-1.5,-1.5,-1.7,-1.7,-1.7,-1.7,-1.9
